feature,mean_abs_shap
cat__ETHNICITY_7,0.0
cat__ETHNICITY_71,0.0
cat__ETHNICITY_73,0.0
cat__ETHNICITY_77,0.0
cat__ETHNICITY_8,0.0
cat__ETHNICITY_80,0.0
cat__HUSBANDS_EDUC_1,0.0
cat__HUSBAND_AGE_66,0.0
cat__HUSBAND_AGE_58,0.0
cat__OCCUPATION_82,0.0
cat__OCCUPATION_81,0.0
cat__OCCUPATION_75,0.0
cat__OCCUPATION_74,0.0
cat__OCCUPATION_73,0.0
cat__OCCUPATION_72,0.0
cat__OCCUPATION_71,0.0
cat__OCCUPATION_63,0.0
cat__OCCUPATION_62,0.0
cat__HUSBANDS_EDUC_0,0.0
cat__OCCUPATION_54,0.0
cat__REGION_7,0.0
cat__REGION_8,0.0
cat__LAST_METHOD_DISCONTINUED_5,0.0
cat__HSBND_DESIRE_FOR_MORE_CHILDREN_8,0.0
cat__HSBND_DESIRE_FOR_MORE_CHILDREN_3,0.0
cat__HSBND_DESIRE_FOR_MORE_CHILDREN_2,0.0
cat__HSBND_DESIRE_FOR_MORE_CHILDREN_1,0.0
cat__HSBND_DESIRE_FOR_MORE_CHILDREN_ ,0.0
cat__REGION_1,0.0
cat__REGION_10,0.0
cat__REASON_DISCONTINUED_1,0.0
cat__REGION_2,0.0
cat__HOUSEHOLD_HEAD_SEX_2,0.0
cat__OCCUPATION_11,0.0
cat__OCCUPATION_1,0.0
cat__OCCUPATION_0,0.0
cat__OCCUPATION_12,0.0
cat__OCCUPATION_21,0.0
cat__OCCUPATION_14,0.0
cat__OCCUPATION_13,0.0
cat__OCCUPATION_23,0.0
cat__DESIRE_FOR_MORE_CHILDREN_1,0.0
cat__ETHNICITY_82,0.0
cat__OCCUPATION_22,0.0
cat__ETHNICITY_84,0.0
cat__ETHNICITY_87,0.0
cat__ETHNICITY_86,0.0
cat__ETHNICITY_85,0.0
cat__ETHNICITY_69,0.0
cat__HUSBAND_AGE_59,0.0
cat__HUSBAND_AGE_63,0.0
cat__ETHNICITY_88,0.0
cat__ETHNICITY_9,0.0
cat__ETHNICITY_96,0.0
cat__HUSBAND_AGE_56,0.0
cat__WANT_LAST_CHILD_1,0.0
cat__WANT_LAST_CHILD_3,0.0
cat__WANT_LAST_CHILD_2,0.0
cat__PARTNER_EDUC_0,0.0
cat__PARTNER_EDUC_2,0.0
cat__PARTNER_EDUC_3,0.0
cat__RESIDING_WITH_PARTNER_2,0.0
cat__PARTNER_EDUC_4,0.0
cat__PARTNER_EDUC_5,0.0
cat__ETHNICITY_43,0.0
cat__ETHNICITY_48,0.0
cat__ETHNICITY_49,0.0
cat__ETHNICITY_5,0.0
cat__ETHNICITY_50,0.0
cat__CONTRACEPTIVE_METHOD_16,0.0
