name,start,len,dtype
M57K,1066,1,Numeric
M57L,1067,1,Numeric
M57M,1068,1,Numeric
M57N,1069,1,Numeric
M57O,1070,1,Numeric
M57P,1071,1,Numeric
M57Q,1072,1,Numeric
M57R,1073,1,Numeric
M57NA,1074,1,Numeric
M57NB,1075,1,Numeric
M57NC,1076,1,Numeric
M57ND,1077,1,Numeric
M57NE,1078,1,Numeric
M57S,1079,1,Numeric
M57T,1080,1,Numeric
M57U,1081,1,Numeric
M57V,1082,1,Numeric
M57X,1083,1,Numeric
M60,1084,1,Numeric
M61,1085,3,Numeric
M62,1088,1,Numeric
M63,1089,3,Numeric
M64,1092,2,Numeric
M66,1094,1,Numeric
M67,1095,3,Numeric
M68,1098,2,Numeric
M69,1100,2,Numeric
M70,1102,1,Numeric
M71,1103,3,Numeric
M72,1106,2,Numeric
M73,1108,2,Numeric
M74,1110,1,Numeric
M75,1111,3,Numeric
M76,1114,2,Numeric
M77,1116,1,Numeric
M77A,1117,2,Numeric
M78A,1119,1,Numeric
M78B,1120,1,Numeric
M78C,1121,1,Numeric
M78D,1122,1,Numeric
M78E,1123,1,Numeric
M78F,1124,1,Numeric
M78G,1125,1,Numeric
M78H,1126,1,Numeric
M78I,1127,1,Numeric
M78J,1128,1,Numeric
M78K,1129,1,Numeric
M80,1130,1,Numeric
M81A,1131,1,Numeric
M81B,1132,1,Numeric
M81C,1133,1,Numeric
M81D,1134,1,Numeric
M81E,1135,1,Numeric
M81F,1136,1,Numeric
M81G,1137,1,Numeric
M81H,1138,1,Numeric
M81I,1139,1,Numeric
M81J,1140,1,Numeric
M81K,1141,1,Numeric
M81L,1142,1,Numeric
M81M,1143,1,Numeric
M81N,1144,1,Numeric
M81O,1145,1,Numeric
M81P,1146,1,Numeric
M81Q,1147,1,Numeric
M81R,1148,1,Numeric
M81NA,1149,1,Numeric
M81NB,1150,1,Numeric
M81NC,1151,1,Numeric
M81ND,1152,1,Numeric
M81NE,1153,1,Numeric
M81S,1154,1,Numeric
M81T,1155,1,Numeric
M81U,1156,1,Numeric
M81V,1157,1,Numeric
M81W,1158,1,Numeric
M81X,1159,1,Numeric
M82,1160,1,Numeric
ML0,1161,1,Numeric
ML1,1162,2,Numeric
ML2,1164,1,Numeric
SRESULT,1165,1,Numeric
S102R,1166,2,Numeric
S102P,1168,2,Numeric
S102C,1170,2,Numeric
S103A,1172,1,Numeric
S107R,1173,2,Numeric
S107P,1175,2,Numeric
S107C,1177,2,Numeric
S115,1179,1,Numeric
S115A,1180,1,Numeric
S115B,1181,3,Numeric
S310A,1184,2,Numeric
S311A,1186,2,Numeric
S313A,1188,5,Numeric
S313B,1193,1,Numeric
S313C,1194,4,Numeric
S330A,1198,1,Numeric
S330B,1199,2,Numeric
S331AA,1201,1,Numeric
S331AB,1202,1,Numeric
S331AC,1203,1,Numeric
S331AD,1204,1,Numeric
S331AE,1205,1,Numeric
S331AF,1206,1,Numeric
S331AG,1207,1,Numeric
S331AH,1208,1,Numeric
S331AI,1209,1,Numeric
S331AJ,1210,1,Numeric
S331AK,1211,1,Numeric
S331AO,1212,1,Numeric
S331AP,1213,1,Numeric
S331AQ,1214,1,Numeric
S331AR,1215,1,Numeric
S331AX,1216,1,Numeric
S331AY,1217,1,Numeric
S636DN,1218,1,Numeric
S705,1219,1,Numeric
S710B,1220,1,Numeric
S710C,1221,2,Numeric
S710D,1223,1,Numeric
S810BA,1224,1,Numeric
S810BB,1225,1,Numeric
S810BC,1226,1,Numeric
S810BD,1227,1,Numeric
S810BE,1228,1,Numeric
S810BF,1229,1,Numeric
S810BX,1230,1,Numeric
S810B,1231,6,Alpha
S812B,1237,2,Numeric
S812C,1239,1,Numeric
S905,1240,1,Numeric
S905A,1241,1,Numeric
S905B,1242,3,Numeric
S1207G,1245,1,Numeric
S1234AA,1246,1,Numeric
S1234AB,1247,1,Numeric
S1234AC,1248,1,Numeric
S1234BA,1249,1,Numeric
S1234BB,1250,1,Numeric
S1234BC,1251,1,Numeric
S1234BD,1252,1,Numeric
S1234BE,1253,1,Numeric
S1234BF,1254,1,Numeric
S1234BG,1255,1,Numeric
SECDWGT,1256,8,Numeric
IDX94,1264,2,Numeric
IDX94P,1266,2,Numeric
S418AA,1268,1,Numeric
S418AB,1269,1,Numeric
S418CA,1270,1,Numeric
S418CB,1271,1,Numeric
S418CC,1272,1,Numeric
S418CD,1273,1,Numeric
S418CE,1274,1,Numeric
S418CF,1275,1,Numeric
S418CG,1276,1,Numeric
S418CH,1277,1,Numeric
S418CI,1278,1,Numeric
S418CX,1279,1,Numeric
S418CY,1280,1,Numeric
S418D,1281,1,Numeric
S426A,1282,1,Numeric
S429AA,1283,1,Numeric
S429AB,1284,1,Numeric
S429AC,1285,1,Numeric
S429AD,1286,1,Numeric
S435AA,1287,6,Numeric
S435AB,1293,6,Numeric
S440,1299,3,Numeric
S446,1302,1,Numeric
S463BA,1303,1,Numeric
S463BB,1304,1,Numeric
S463BC,1305,1,Numeric
S463BD,1306,1,Numeric
S463BE,1307,1,Numeric
S463BF,1308,1,Numeric
S463BG,1309,1,Numeric
S463BH,1310,1,Numeric
S463BI,1311,1,Numeric
S463BJ,1312,1,Numeric
S463BX,1313,1,Numeric
S474A,1314,1,Numeric
S474C,1315,1,Numeric
S474D,1316,1,Numeric
S474G,1317,1,Numeric
S474H,1318,1,Numeric
S474I,1319,1,Numeric
S483AA,1320,1,Numeric
S483AB,1321,1,Numeric
S483AC,1322,1,Numeric
S483AD,1323,1,Numeric
S483AE,1324,1,Numeric
S483AF,1325,1,Numeric
S483AG,1326,1,Numeric
S483AH,1327,1,Numeric
S483AI,1328,1,Numeric
S483AJ,1329,1,Numeric
S483AK,1330,1,Numeric
S483AL,1331,1,Numeric
S483AM,1332,1,Numeric
S483AX,1333,1,Numeric
S486B,1334,1,Numeric
S486C,1335,1,Numeric
